,playerID,yearID,R,RBI,SB,SO,IBB,SH,SF,GIDP,BA,OPS,LogSalary,nameFirst,nameLast,nameGiven,bats,teamName
43,bordimi01,2003,39,54,3,60,0,0,1,8,0.274052478,0.722293591,14.08124299,Mike,Bordick,Michael Todd,R,Toronto Blue Jays
44,bradlmi01,2003,61,56,17,73,8,0,5,10,0.320954907,0.922612291,12.92383439,Milton,Bradley,Milton Obelle,B,Cleveland Indians
45,braggda01,2003,21,9,2,38,1,4,0,1,0.240740741,0.589035363,13.2827358,Darren,Bragg,Darren William,L,Atlanta Braves
46,branyru01,2003,22,26,0,69,0,0,1,1,0.215909091,0.75945122,13.15237256,Russell,Branyan,Russell Oles,L,Cincinnati Reds
47,brousbe01,2003,53,55,5,75,2,3,3,6,0.248704663,0.755211754,12.88722062,Ben,Broussard,Benjamin Isaac,L,Cleveland Indians
48,brownde02,2003,16,14,1,37,1,0,1,0,0.227272727,0.605477855,12.90844465,Dee,Brown,Dermal Bram,L,Kansas City Royals
49,buchabr01,2003,29,29,6,51,1,0,3,8,0.262626263,0.801036683,12.95731183,Brian,Buchanan,Brian James,R,San Diego Padres
50,burksel01,2003,27,28,1,46,2,0,0,4,0.262626263,0.778841042,16.05068357,Ellis,Burks,Ellis Rena,R,Cleveland Indians
51,burnije01,2003,38,45,1,55,6,0,0,4,0.273504274,0.924825925,16.57994292,Jeromy,Burnitz,Jeromy Neal,L,New York Mets
52,burrepa01,2003,57,64,0,142,2,0,1,18,0.208812261,0.71306264,14.30438623,Pat,Burrell,Patrick Brian,R,Philadelphia Phillies
53,butlebr02,2003,13,4,1,13,2,1,0,2,0.211111111,0.575510204,12.88722062,Brent,Butler,Justin Brent,R,Colorado Rockies
54,byrdma01,2003,86,45,11,94,3,4,3,8,0.303030303,0.784302037,12.8772707,Marlon,Byrd,Marlon Jerrard,R,Philadelphia Phillies
55,byrneer01,2003,64,51,10,71,4,0,2,3,0.263285024,0.791545894,12.8772707,Eric,Byrnes,Eric James,R,Oakland Athletics
56,cabrejo02,2003,43,37,6,62,3,3,3,10,0.282420749,0.769605333,13.2488339,Jolbert,Cabrera,Jolbert Alexis,R,Los Angeles Dodgers
57,cabremi01,2003,39,62,0,84,3,4,1,12,0.267515924,0.79271427,12.28290405,Miguel,Cabrera,Jose Miguel,R,Florida Marlins
58,cabreor01,2003,95,80,24,64,3,3,9,18,0.297124601,0.807447619,15.27516527,Orlando,Cabrera,Orlando Luis,R,Montreal Expos
59,cairomi01,2003,41,32,4,30,1,3,7,6,0.245210728,0.664677533,13.91872397,Miguel,Cairo,Miguel Jesus,R,St. Louis Cardinals
60,calloro01,2003,36,52,9,80,1,4,3,13,0.238235294,0.655721193,12.8772707,Ron,Calloway,Ronald Isiah,L,Montreal Expos
61,camermi01,2003,74,76,17,137,1,1,2,13,0.252808989,0.774410465,16.08497269,Mike,Cameron,Michael Terrance,R,Seattle Mariners
62,caseyse01,2003,71,80,4,58,4,0,3,19,0.291448517,0.75813849,15.80400951,Sean,Casey,Sean Thomas,L,Cincinnati Reds
63,castilu01,2003,99,39,21,60,0,15,1,7,0.314285714,0.7778792,15.66022152,Luis,Castillo,Luis Antonio,B,Florida Marlins
64,castivi02,2003,65,76,1,86,3,1,6,22,0.276752768,0.771479916,15.69068075,Vinny,Castilla,Vinicio,R,Atlanta Braves
65,castrju01,2003,28,33,2,58,1,7,3,7,0.253125,0.677822581,13.85809963,Juan,Castro,Juan Gabriel,R,Cincinnati Reds
66,castrra01,2003,6,8,0,11,0,0,0,0,0.283018868,0.937106918,12.8772707,Ramon,Castro,Ramon Abraham,R,Florida Marlins
67,catalfr01,2003,83,59,2,62,1,2,3,9,0.298568507,0.823236916,14.86970028,Frank,Catalanotto,Frank John,L,Toronto Blue Jays
68,cedenro01,2003,70,37,14,86,3,2,2,8,0.266528926,0.698099174,15.66536298,Roger,Cedeno,Roger Leandro,B,New York Mets
69,chaveen01,2003,66,47,18,59,3,9,3,7,0.250517598,0.648041136,12.8772707,Endy,Chavez,Endy de Jesus,L,Montreal Expos
70,chaveer01,2003,94,101,8,89,10,0,3,14,0.282312925,0.863758347,15.38279601,Eric,Chavez,Eric Cesar,L,Oakland Athletics
71,chavera01,2003,5,4,0,6,0,0,0,3,0.27027027,0.721906117,12.8772707,Raul,Chavez,Raul Alexander,R,Houston Astros
72,choihe01,2003,31,28,1,71,1,2,0,2,0.217821782,0.770586318,12.89380017,Hee-Seop,Choi,Hee-Seop,L,Chicago Cubs
73,cirilje01,2003,24,23,1,32,1,4,2,6,0.205426357,0.555054854,15.98707482,Jeff,Cirillo,Jeffrey Howard,R,Seattle Mariners
74,clarkbr02,2003,33,40,13,40,0,2,7,12,0.273015873,0.732720058,12.9180931,Brady,Clark,Brady William,R,Milwaukee Brewers
75,clarkje02,2003,0,0,0,0,0,0,0,0,0.0,0.25,12.8772707,Jermaine,Clark,Jermaine Marcel,L,Texas Rangers
76,clarkje02,2003,2,6,2,4,0,1,1,1,0.216216216,0.538562953,12.8772707,Jermaine,Clark,Jermaine Marcel,L,Texas Rangers
77,claytro01,2003,49,39,5,92,10,4,4,25,0.227743271,0.63388992,14.4867081,Royce,Clayton,Royce Spencer,R,Milwaukee Brewers
78,colbrgr01,2003,7,7,0,16,0,0,0,3,0.275862069,0.805339266,13.79356041,Greg,Colbrunn,Gregory Joseph,R,Seattle Mariners
79,coninje01,2003,75,80,5,60,5,0,12,14,0.290060852,0.798654657,15.52816188,Jeff,Conine,Jeffrey Guy,R,Baltimore Orioles
80,contija01,2003,3,7,0,18,0,1,1,1,0.229166667,0.650735294,12.8772707,Jason,Conti,Stanley Jason,L,Milwaukee Brewers
81,coraal01,2003,39,34,4,59,3,9,2,5,0.249475891,0.624654918,14.221005,Alex,Cora,Jose Alexander,L,Los Angeles Dodgers
82,cordewi01,2003,57,71,1,90,5,0,3,11,0.277522936,0.803199821,13.57041788,Wil,Cordero,Wilfredo,R,Montreal Expos
83,cordoma01,2003,5,4,1,5,1,0,0,1,0.233333333,0.776923077,15.21264495,Marty,Cordova,Martin Kevin,R,Baltimore Orioles
84,counscr01,2003,40,21,11,32,0,3,2,4,0.234323432,0.63121657,15.00417834,Craig,Counsell,Craig John,L,Arizona Diamondbacks
85,crawfca02,2003,80,54,55,102,4,1,3,5,0.280952381,0.670995671,12.8772707,Carl,Crawford,Carl Demonte,L,Tampa Bay Devil Rays
86,credejo01,2003,68,75,1,75,1,2,4,11,0.26119403,0.740794298,12.92606135,Joe,Crede,Joseph,R,Chicago White Sox
